Date,Open,High,Low,Avg,Close,Adj Close,Volume
1/1/14,4160.029785,4246.549805,4044.76001,4145.654908,4103.879883,4103.879883,45227610000
2/1/14,4105.060059,4342.589844,3968.189941,4155.389893,4308.120117,4308.120117,39978180000
3/1/14,4261.419922,4371.709961,4131.810059,4251.76001,4198.990234,4198.990234,46796180000
4/1/14,4219.870117,4286.089844,3946.030029,4116.059937,4114.560059,4114.560059,44391220000
5/1/14,4121.25,4252.080078,4021.050049,4136.565064,4242.620117,4242.620117,39290130000
6/1/14,4247.959961,4417.459961,4207.609863,4312.534912,4408.180176,4408.180176,40249370000
7/1/14,4424.709961,4485.930176,4351.040039,4418.485108,4369.77002,4369.77002,39536410000
8/1/14,4363.390137,4580.27002,4321.890137,4451.080079,4580.27002,4580.27002,33417300000
9/1/14,4592.419922,4610.569824,4464.439941,4537.504883,4493.390137,4493.390137,39631130000
10/1/14,4486.649902,4641.509766,4116.600098,4379.054932,4630.740234,4630.740234,50136190000
11/1/14,4633.709961,4810.859863,4594.919922,4702.889893,4791.629883,4791.629883,32967990000
12/1/14,4777.72998,4814.950195,4547.310059,4681.130127,4736.049805,4736.049805,39587090000